,,総数,,,,,,,,,0歳,,,,,,,,,1歳,,,,,,,,,2歳,,,,,,,,,3歳,,,,,,,,,4歳,,,,,,,,,0～4歳,,,,,,,,,5～9歳,,,,,,,,,10～14歳,,,,,,,,,15～19歳,,,,,,,,,20～24歳,,,,,,,,,25～29歳,,,,,,,,,30～34歳,,,,,,,,,35～39歳,,,,,,,,,40～44歳,,,,,,,,,45～49歳,,,,,,,,,50～54歳,,,,,,,,,55～59歳,,,,,,,,,60～64歳,,,,,,,,
,,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他
,男　Ｍ．,6072,5641,66,55,26,-,155,142,13,10,10,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,15,15,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,14,13,-,-,-,-,-,1,-,16,15,-,-,-,-,-,1,-,24,23,-,-,-,-,1,-,-,46,42,-,-,-,-,-,4,-,85,81,1,-,-,-,-,3,-,135,126,1,-,-,-,2,5,1,206,188,3,1,-,-,4,9,1
,女　Ｆ．,5642,5127,63,84,44,-,208,143,17,11,11,-,-,-,-,-,-,-,3,2,-,-,-,-,-,1,-,2,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,14,-,-,-,-,-,2,-,5,5,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,4,3,-,-,-,-,-,1,-,6,6,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,18,16,-,-,-,-,-,2,-,19,18,-,-,-,-,-,1,-,41,40,-,-,-,-,1,-,-,66,63,-,-,-,-,-,3,-,82,80,-,-,-,-,-,2,-
01400　　ウイルス性肝炎　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1448,1122,18,44,17,-,108,142,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,3,2,-,-,-,-,-,1,-,6,6,-,-,-,-,-,-,-,10,7,-,-,-,-,-,3,-,14,12,-,-,-,-,-,2,-,48,35,1,-,-,-,1,10,1,71,54,2,-,-,-,-,11,4
,男　Ｍ．,688,566,8,14,4,-,22,71,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,2,1,-,-,-,-,-,1,-,6,6,-,-,-,-,-,-,-,7,6,-,-,-,-,-,1,-,12,10,-,-,-,-,-,2,-,45,32,1,-,-,-,1,10,1,51,39,2,-,-,-,-,7,3
,女　Ｆ．,760,556,10,30,13,-,86,71,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,-,-,-,-,2,-,2,2,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,20,15,-,-,-,-,-,4,1
01401　　　Ｂ型ウイルス性肝炎　　　　　　　　　　　　　　　　　　　　　　　　　,総数,317,256,2,3,3,-,19,34,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,5,4,-,-,-,-,-,1,-,5,3,-,-,-,-,-,2,-,15,11,1,-,-,-,-,2,1,22,19,-,-,-,-,-,2,1
,男　Ｍ．,172,149,1,-,-,-,4,16,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,4,3,-,-,-,-,-,1,-,5,3,-,-,-,-,-,2,-,15,11,1,-,-,-,-,2,1,14,13,-,-,-,-,-,-,1
,女　Ｆ．,145,107,1,3,3,-,15,18,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,6,-,-,-,-,-,2,-
01402　　　Ｃ型ウイルス性肝炎　　　　　　　　　　　　　　　　　　　　　　　　　,総数,948,702,14,38,12,-,81,103,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,5,3,-,-,-,-,-,2,-,6,6,-,-,-,-,-,-,-,28,19,-,-,-,-,1,8,-,44,31,2,-,-,-,-,9,2
,男　Ｍ．,414,321,7,12,3,-,16,53,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,26,17,-,-,-,-,1,8,-,34,23,2,-,-,-,-,7,2
,女　Ｆ．,534,381,7,26,9,-,65,50,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,2,-,1,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,10,8,-,-,-,-,-,2,-
01403　　　その他のウイルス性肝炎　　　　　　　　　　　　　　　　　　　　　　　,総数,183,164,2,3,2,-,8,5,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,5,4,-,-,-,-,-,-,1
,男　Ｍ．,102,96,-,2,1,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-
,女　Ｆ．,81,68,2,1,1,-,6,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,1
01500　　ヒト免疫不全ウイルス［ＨＩＶ］病　　　　　　　　　　　　　　　　　　　,総数,55,37,-,-,-,-,4,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,3,2,-,-,-,-,-,1,-,3,3,-,-,-,-,-,-,-,6,4,-,-,-,-,-,2,-,5,5,-,-,-,-,-,-,-,11,7,-,-,-,-,-,4,-,2,1,-,-,-,-,1,-,-
,男　Ｍ．,50,33,-,-,-,-,3,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,3,2,-,-,-,-,-,1,-,3,3,-,-,-,-,-,-,-,6,4,-,-,-,-,-,2,-,5,5,-,-,-,-,-,-,-,9,5,-,-,-,-,-,4,-,2,1,-,-,-,-,1,-,-
,女　Ｆ．,5,4,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
01600　　その他の感染症及び寄生虫症　　　　　　　　　　　　　　　　　　　　　　,総数,7584,6436,83,134,48,-,353,543,35,19,18,-,-,-,-,-,1,-,11,11,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,42,41,-,-,-,-,-,1,-,8,8,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,7,6,-,-,-,-,-,1,-,6,4,-,-,-,-,-,2,-,11,10,-,-,-,-,-,-,1,8,7,-,-,-,-,-,1,-,16,16,-,-,-,-,-,-,-,21,18,1,-,-,-,1,1,-,36,34,-,-,-,-,-,2,-,79,71,-,-,-,-,1,7,-,88,74,-,1,1,-,2,10,1,175,156,-,-,-,-,9,10,-
,男　Ｍ．,3672,3268,32,43,14,-,99,221,9,11,10,-,-,-,-,-,1,-,7,7,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,23,22,-,-,-,-,-,1,-,6,6,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,4,3,-,-,-,-,-,1,-,3,1,-,-,-,-,-,2,-,5,4,-,-,-,-,-,-,1,2,1,-,-,-,-,-,1,-,11,11,-,-,-,-,-,-,-,13,12,-,-,-,-,-,1,-,22,22,-,-,-,-,-,-,-,45,40,-,-,-,-,1,4,-,57,49,-,-,-,-,-,7,1,112,100,-,-,-,-,5,7,-
,女　Ｆ．,3912,3168,51,91,34,-,254,322,26,8,8,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,19,19,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,6,6,-,-,-,-,-,-,-,6,6,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,8,6,1,-,-,-,1,-,-,14,12,-,-,-,-,-,2,-,34,31,-,-,-,-,-,3,-,31,25,-,1,1,-,2,3,-,63,56,-,-,-,-,4,3,-
02000　新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,398020,282601,4290,4796,1668,-,31058,71914,3361,19,16,-,-,-,-,-,3,-,13,9,-,-,-,-,-,4,-,11,7,-,-,-,-,-,4,-,17,9,-,-,-,-,-,8,-,13,8,-,-,-,-,-,5,-,73,49,-,-,-,-,-,24,-,94,51,-,-,-,-,-,43,-,102,59,-,-,-,-,-,41,2,130,85,-,-,-,-,1,44,-,172,106,1,-,-,-,-,65,-,241,157,2,-,-,-,1,78,3,454,324,2,-,-,-,3,122,3,946,652,8,-,-,-,20,257,9,1817,1303,15,-,-,-,38,448,13,4039,2933,25,-,-,-,73,977,31,7863,5804,52,2,1,-,178,1760,67,11548,8629,74,7,3,-,313,2450,75,17438,13337,119,24,9,-,564,3292,102
,男　Ｍ．,229406,167000,2368,2150,765,-,14878,41381,1629,7,4,-,-,-,-,-,3,-,5,3,-,-,-,-,-,2,-,5,3,-,-,-,-,-,2,-,9,5,-,-,-,-,-,4,-,6,2,-,-,-,-,-,4,-,32,17,-,-,-,-,-,15,-,46,26,-,-,-,-,-,20,-,55,32,-,-,-,-,-,23,-,78,50,-,-,-,-,-,28,-,105,67,1,-,-,-,-,37,-,131,93,1,-,-,-,-,34,3,201,148,1,-,-,-,1,51,-,379,272,5,-,-,-,11,90,1,753,561,10,-,-,-,15,161,6,1720,1294,9,-,-,-,26,377,14,3696,2784,23,2,1,-,90,764,33,6086,4661,30,2,1,-,164,1187,42,10358,8126,64,17,5,-,331,1755,65
,女　Ｆ．,168614,115601,1922,2646,903,-,16180,30533,1732,12,12,-,-,-,-,-,-,-,8,6,-,-,-,-,-,2,-,6,4,-,-,-,-,-,2,-,8,4,-,-,-,-,-,4,-,7,6,-,-,-,-,-,1,-,41,32,-,-,-,-,-,9,-,48,25,-,-,-,-,-,23,-,47,27,-,-,-,-,-,18,2,52,35,-,-,-,-,1,16,-,67,39,-,-,-,-,-,28,-,110,64,1,-,-,-,1,44,-,253,176,1,-,-,-,2,71,3,567,380,3,-,-,-,9,167,8,1064,742,5,-,-,-,23,287,7,2319,1639,16,-,-,-,47,600,17,4167,3020,29,-,-,-,88,996,34,5462,3968,44,5,2,-,149,1263,33,7080,5211,55,7,4,-,233,1537,37
02100　　悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,384111,272410,4105,4376,1508,-,29645,70321,3254,9,7,-,-,-,-,-,2,-,11,8,-,-,-,-,-,3,-,10,6,-,-,-,-,-,4,-,14,6,-,-,-,-,-,8,-,12,8,-,-,-,-,-,4,-,56,35,-,-,-,-,-,21,-,81,42,-,-,-,-,-,39,-,95,53,-,-,-,-,-,40,2,120,75,-,-,-,-,1,44,-,158,97,1,-,-,-,-,60,-,223,145,2,-,-,-,1,72,3,428,305,2,-,-,-,3,115,3,902,620,7,-,-,-,18,248,9,1768,1265,14,-,-,-,33,443,13,3913,2828,24,-,-,-,71,959,31,7700,5680,50,2,1,-,168,1733,67,11330,8459,72,6,3,-,309,2411,73,17064,13043,115,21,8,-,544,3243,98
,男　Ｍ．,221786,161191,2279,2011,717,-,14298,40431,1576,4,2,-,-,-,-,-,2,-,5,3,-,-,-,-,-,2,-,5,3,-,-,-,-,-,2,-,9,5,-,-,-,-,-,4,-,5,2,-,-,-,-,-,3,-,28,15,-,-,-,-,-,13,-,40,22,-,-,-,-,-,18,-,51,29,-,-,-,-,-,22,-,73,45,-,-,-,-,-,28,-,98,61,1,-,-,-,-,36,-,119,85,1,-,-,-,-,30,3,185,136,1,-,-,-,1,47,-,359,260,4,-,-,-,10,84,1,719,534,9,-,-,-,12,158,6,1651,1237,8,-,-,-,25,367,14,3605,2717,22,2,1,-,84,747,33,5951,4551,29,2,1,-,163,1164,42,10118,7931,64,15,5,-,322,1724,62
,女　Ｆ．,162325,111219,1826,2365,791,-,15347,29890,1678,5,5,-,-,-,-,-,-,-,6,5,-,-,-,-,-,1,-,5,3,-,-,-,-,-,2,-,5,1,-,-,-,-,-,4,-,7,6,-,-,-,-,-,1,-,28,20,-,-,-,-,-,8,-,41,20,-,-,-,-,-,21,-,44,24,-,-,-,-,-,18,2,47,30,-,-,-,-,1,16,-,60,36,-,-,-,-,-,24,-,104,60,1,-,-,-,1,42,-,243,169,1,-,-,-,2,68,3,543,360,3,-,-,-,8,164,8,1049,731,5,-,-,-,21,285,7,2262,1591,16,-,-,-,46,592,17,4095,2963,28,-,-,-,84,986,34,5379,3908,43,4,2,-,146,1247,31,6946,5112,51,6,3,-,222,1519,36
02101　　　口唇，口腔及び咽頭の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　,総数,8580,5935,102,76,27,-,796,1603,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,3,-,-,-,-,-,3,-,8,6,-,-,-,-,-,2,-,17,12,-,-,-,-,-,5,-,22,15,-,-,-,-,2,5,-,55,42,-,-,-,-,1,11,1,126,98,1,-,-,-,4,20,3,248,184,1,-,-,-,10,51,2,316,234,1,-,-,-,12,67,2,507,376,7,-,-,-,18,103,3
,男　Ｍ．,6085,4302,78,34,14,-,441,1188,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,1,-,-,-,-,-,3,-,6,4,-,-,-,-,-,2,-,10,8,-,-,-,-,-,2,-,15,10,-,-,-,-,2,3,-,33,24,-,-,-,-,-,8,1,88,70,1,-,-,-,2,12,3,175,132,1,-,-,-,8,32,2,254,183,1,-,-,-,11,57,2,409,300,6,-,-,-,17,83,3
,女　Ｆ．,2495,1633,24,42,13,-,355,415,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,7,4,-,-,-,-,-,3,-,7,5,-,-,-,-,-,2,-,22,18,-,-,-,-,1,3,-,38,28,-,-,-,-,2,8,-,73,52,-,-,-,-,2,19,-,62,51,-,-,-,-,1,10,-,98,76,1,-,-,-,1,20,-
02102　　　食道の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,10638,7708,120,71,27,-,679,1993,67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,7,2,-,-,-,-,1,3,1,23,17,-,-,-,-,1,5,-,84,64,-,-,-,-,-,20,-,237,182,3,-,-,-,3,47,2,363,272,3,-,-,-,4,81,3,689,532,3,-,-,-,24,129,1
,男　Ｍ．,8572,6256,98,56,24,-,502,1619,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,1,-,13,10,-,-,-,-,1,2,-,54,40,-,-,-,-,-,14,-,159,123,2,-,-,-,2,30,2,281,209,3,-,-,-,3,64,2,542,421,3,-,-,-,16,102,-
,女　Ｆ．,2066,1452,22,15,3,-,177,374,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,4,-,-,-,-,-,1,2,1,10,7,-,-,-,-,-,3,-,30,24,-,-,-,-,-,6,-,78,59,1,-,-,-,1,17,-,82,63,-,-,-,-,1,17,1,147,111,-,-,-,-,8,27,1
02103　　　胃の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　,総数,37867,26446,415,454,137,-,2749,7464,339,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,11,4,-,-,-,-,-,7,-,18,12,-,-,-,-,-,5,1,40,28,1,-,-,-,-,11,-,92,64,-,-,-,-,-,28,-,152,105,1,-,-,-,1,44,1,258,185,3,-,-,-,3,66,1,539,406,2,-,-,-,7,119,5,788,587,2,-,-,-,22,171,6,1290,983,6,2,2,-,34,257,8
,男　Ｍ．,24720,17571,263,232,71,-,1494,4972,188,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,3,-,-,-,-,-,5,-,9,6,-,-,-,-,-,2,1,19,15,-,-,-,-,-,4,-,42,30,-,-,-,-,-,12,-,88,62,1,-,-,-,-,24,1,147,102,3,-,-,-,2,39,1,346,263,2,-,-,-,5,73,3,510,396,2,-,-,-,12,97,3,914,703,5,2,2,-,29,168,7
